,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
963,1023,gsmarena.com,730.230093002319,179.63433265686,350.0,89.8171663284302,43134.0,3834.0,93024.0,185.216.73.70,Bogotá,Colombia,0,263356,28249072,Other
985,1046,steampowered.com,368.066310882568,178.422451019287,176.0,89.2112255096436,6011.0,3009.0,515905.0,185.216.73.70,Bogotá,Colombia,0,1646,1510139,Other
1017,1080,hotels.com,366.584062576294,179.256439208984,722.0,89.6282196044922,24780.0,4988.0,920054.0,185.216.73.70,Bogotá,Colombia,0,17723,19162574,Other
1018,1081,globo.com,617.226123809814,178.987264633179,307.0,89.4936323165894,15610.0,4405.0,1035265.0,185.216.73.70,Bogotá,Colombia,0,22649,25998190,Other
1040,1106,pinterest.com,442.650556564331,181.157827377319,502.0,90.5789136886597,3370.0,3363.0,260605.0,179.48.248.45,San José,Costa_Rica,0,556,36841,Social Media Sites
1041,1107,yelp.com,473.106384277344,179.951906204224,660.0,89.9759531021118,3849.0,3844.0,109417.0,179.48.248.45,San José,Costa_Rica,0,3126,1802645,Other
1046,1112,cambridge.org,672.041177749634,181.397199630737,488.0,90.6985998153687,6813.0,3173.0,285858.0,179.48.248.45,San José,Costa_Rica,0,1028,293293,Educational Websites
1057,1123,gsmarena.com,728.78885269165,178.549766540527,367.0,89.2748832702637,6880.0,3889.0,64246.0,179.48.248.45,San José,Costa_Rica,0,3035,2566235,Other
1060,1126,timeanddate.com,500.092744827271,179.872989654541,298.0,89.9364948272705,23710.0,1911.0,68191.0,179.48.248.45,San José,Costa_Rica,0,48929,15357391,Other
1079,1146,steampowered.com,513.407230377197,212.197542190552,228.0,106.098771095276,11056.0,3391.0,514760.0,179.48.248.45,San José,Costa_Rica,0,8046,1510139,Other
