,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
337,356,adobe.com,457.219123840332,28.7015438079834,54.0,14.3507719039917,1476.0,732.0,317583.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
339,358,ssyoutube.com,79.3688297271729,23.8656997680664,385.0,11.9328498840332,1419.0,899.0,30024.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
343,362,mcdonalds.com,307.587146759033,25.8488655090332,92.0,12.9244327545166,1903.0,1167.0,265411.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
353,374,dominos.com,83.4720134735107,56.2038421630859,327.0,28.101921081543,5282.0,4450.0,118373.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
362,384,wellsfargo.com,97.9762077331543,24.2183208465576,45.0,12.1091604232788,1707.0,974.0,132054.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
370,392,fast.com,135.023355484009,22.7618217468262,38.0,11.3809108734131,3651.0,1130.0,25627.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
373,396,calculator.net,361.945152282715,58.6960315704346,117.0,29.3480157852173,845.0,649.0,11466.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
381,405,merriam-webster.com,58.7482452392578,25.3226757049561,43.0,12.661337852478,2408.0,442.0,267432.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites
385,409,wiktionary.org,57.5616359710693,22.885799407959,45.0,11.4428997039795,395.0,393.0,61262.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
386,410,dictionary.com,107.72967338562,22.9425430297852,34.0,11.4712715148926,1397.0,449.0,206148.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites
